"state","freq"
"AK",0.000235700379657016
"AL",0.0100117817605316
"AR",0.000812153753912213
"AZ",0.0030774997985753
"CA",0.00196902261452226
"CO",0.00159077915690945
"CT",0.0025484634844886
"DE",0.00284412161425545
"FL",0.00171560299934194
"GA",0.00164300648200225
"HI",0.00106230024634376
"IA",0.0054256318891086
"ID",0.00021311152137559
"IL",0.005144724266336
"IN",0.00498531440308504
"KS",0.00254887963964448
"KY",0.00198733101965194
"LA",0.00169732256613149
"MA",0.0113857042649026
"MD",0.00295411607676653
"ME",0.000575947370418513
"MI",0.00314635590330738
"MN",0.00311974716579445
"MO",0.00478911879078675
"MS",0.000482717413729723
"MT",0.00143516035401273
"NC",0.00978313614169098
"ND",0.000703039943305957
"NE",0.00387017612881393
"NH",0.000601129425190265
"NJ",0.0117646381903861
"NM",0.000163271697423513
"NV",0.0003368877843886
"NY",0.0496983023251411
"OH",0.0027699282820157
"OK",0.00225113078708867
"OR",0.00222152872912689
"PA",0.00257077208951539
"RI",0.00238159998407844
"SC",0.00182225200218025
"SD",0.00285638936912122
"TN",0.00182155425452778
"TX",0.00159168553068933
"UT",0.00190492242011457
"VA",0.0375940449628289
"VT",0.000278515434667233
"WA",0.00185115690225773
"WI",0.00889140616302208
"WV",0.000547106380406714
"WY",0.00101172124426306
